,StartDate,ExitDate,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,GenderCode,LocationCode,Race,Marital Status,Performance Score,Current Employee Rating,Employee ID,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome
57,29-08-2018,active,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,Model Assistant,Male,64036,Other,Single,Fully Meets,4,3484,1,2,4,Project Management,External,Passed
58,26-10-2021,active,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,Laborer,Male,23173,White,Widowed,Fully Meets,5,3485,2,1,3,Customer Service,Internal,Passed
59,31-10-2022,08-Jun-23,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,Engineer,Male,19665,Other,Widowed,Fully Meets,4,3486,3,1,1,Project Management,Internal,Completed
60,15-03-2023,active,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,Administrator,Female,41161,Other,Divorced,Fully Meets,4,3487,5,4,1,Project Management,External,Completed
61,09-09-2022,active,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,Lineman,Female,52499,Asian,Single,Fully Meets,2,3488,1,5,1,Communication Skills,Internal,Completed
62,04-03-2022,active,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Laborer,Female,25634,Black,Divorced,Fully Meets,2,3489,2,4,5,Project Management,Internal,Passed
63,11-02-2019,active,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,3490,5,3,2,Technical Skills,Internal,Failed
64,26-01-2021,active,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Male,39504,White,Widowed,Fully Meets,5,3491,3,4,5,Project Management,Internal,Incomplete
65,26-11-2019,active,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,Clerk,Male,31676,Asian,Married,Fully Meets,1,3492,1,5,5,Project Management,Internal,Incomplete
66,15-07-2019,active,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,3493,3,1,5,Project Management,Internal,Completed
67,18-06-2020,active,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,Technician,Male,90983,Black,Single,Fully Meets,4,3494,1,2,1,Technical Skills,Internal,Completed
68,22-06-2023,22-Jul-23,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,Laborer,Male,1115,Other,Married,Fully Meets,4,3495,4,3,5,Customer Service,External,Passed
69,02-12-2021,active,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,Administrator,Male,72233,Other,Widowed,Fully Meets,5,3496,1,3,2,Project Management,Internal,Incomplete
70,08-12-2021,active,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1,3497,2,3,4,Communication Skills,Internal,Completed
71,26-04-2023,22-Jun-23,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,Laborer,Female,36087,White,Widowed,Fully Meets,2,3498,3,3,4,Project Management,External,Failed
72,25-09-2018,20-Dec-21,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Technician,Female,61457,Asian,Widowed,Fully Meets,5,3499,5,3,5,Technical Skills,Internal,Incomplete
73,20-11-2018,21-Jun-20,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),Mechanic,Female,80424,White,Divorced,Fully Meets,1,3500,4,1,4,Leadership Development,External,Incomplete
74,30-08-2020,30-Aug-22,PL,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Technician,Male,6240,Other,Widowed,Fully Meets,4,3501,2,3,4,Project Management,External,Passed
75,01-10-2019,active,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,Electrician,Male,49914,White,Married,Fully Meets,1,3502,5,3,5,Customer Service,External,Incomplete
76,20-01-2022,active,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,Manager,Male,71319,Other,Single,Fully Meets,4,3503,5,2,3,Technical Skills,Internal,Completed
77,10-10-2021,active,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,Laborer,Male,27992,Hispanic,Married,Fully Meets,2,3504,3,4,3,Communication Skills,Internal,Completed
78,29-08-2020,active,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1,3505,4,3,2,Leadership Development,Internal,Failed
79,27-08-2019,10-May-23,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,Technician,Male,38740,Other,Married,Fully Meets,2,3506,2,2,3,Leadership Development,Internal,Completed
80,25-02-2021,07-Apr-23,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,Manager,Male,9437,White,Single,Fully Meets,4,3507,2,5,2,Project Management,Internal,Passed
81,13-07-2021,active,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,Laborer,Male,9385,Asian,Single,Fully Meets,5,3508,1,5,4,Communication Skills,External,Completed
82,14-04-2021,active,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,Project Controls,Female,75993,Black,Married,Fully Meets,2,3509,4,5,2,Leadership Development,External,Completed
83,10-02-2020,active,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Laborer,Female,65329,Hispanic,Married,Fully Meets,2,3510,2,4,3,Technical Skills,External,Completed
84,17-08-2021,31-Dec-21,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,Director,Female,41111,Asian,Divorced,Fully Meets,4,3511,5,4,5,Technical Skills,Internal,Completed
85,17-04-2023,22-Jun-23,NEL,Active,Contract,Zone C,Temporary,Sales,Yard (Material Handling),Coordinator,Female,58860,Black,Single,Fully Meets,2,3512,5,1,3,Communication Skills,Internal,Failed
86,02-09-2022,24-May-23,PL,Active,Contract,Zone C,Temporary,Sales,General - Con,Laborer,Male,93051,Other,Married,Fully Meets,5,3513,4,1,3,Communication Skills,External,Completed
87,15-04-2020,active,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,Manager,Male,17419,Asian,Married,Fully Meets,1,3514,2,1,1,Leadership Development,Internal,Incomplete
88,09-03-2022,10-Dec-22,CCDR,Active,Part-Time,Zone A,Part-Time,Sales,Finance & Accounting,Controller,Male,59593,White,Single,Fully Meets,4,3515,3,5,5,Customer Service,Internal,Completed
89,07-04-2022,22-Jan-23,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5,3516,2,3,5,Technical Skills,Internal,Incomplete
90,19-02-2020,active,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4,3517,4,1,1,Technical Skills,Internal,Failed
91,10-04-2021,04-Jul-22,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2,3518,4,2,5,Customer Service,Internal,Completed
92,19-12-2021,02-Mar-22,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2,3519,1,3,4,Leadership Development,External,Incomplete
93,13-12-2020,13-Jan-23,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,Manager,Female,18983,Black,Divorced,Fully Meets,1,3520,5,1,1,Customer Service,External,Incomplete
94,26-02-2019,active,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,Electrician,Female,51795,Asian,Divorced,Fully Meets,4,3521,1,3,3,Communication Skills,Internal,Incomplete
95,02-03-2020,active,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,Splicer,Female,34369,Other,Single,Fully Meets,1,3522,1,5,4,Communication Skills,External,Completed
96,25-06-2021,25-Aug-22,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,Laborer,Female,23092,Other,Single,Fully Meets,2,3523,3,2,3,Leadership Development,External,Incomplete
97,26-07-2021,04-May-22,EW,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Laborer,Male,6074,Asian,Divorced,Fully Meets,2,3524,3,2,4,Communication Skills,Internal,Completed
98,03-07-2022,10-Jan-23,MSC,Active,Contract,Zone B,Temporary,Sales,General - Con,Foreman,Male,72264,Hispanic,Single,Fully Meets,2,3525,1,2,1,Leadership Development,External,Incomplete
99,15-09-2022,active,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Foreman,Male,28282,White,Widowed,Fully Meets,4,3526,1,5,3,Customer Service,Internal,Passed
100,01-05-2020,25-Feb-21,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,Lineman,Male,46645,Black,Married,Fully Meets,1,3527,1,3,2,Project Management,Internal,Failed
101,13-10-2022,active,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2,3528,5,2,2,Technical Skills,External,Passed
102,03-01-2020,24-Aug-20,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2,3529,2,3,4,Project Management,Internal,Incomplete
103,13-11-2019,active,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,Tower Hand,Female,62321,Black,Widowed,Fully Meets,2,3530,1,2,5,Customer Service,External,Passed
104,17-06-2023,active,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,Project Manager,Male,18409,Black,Divorced,Fully Meets,1,3531,2,4,4,Leadership Development,External,Completed
105,14-10-2021,active,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,Technician,Female,40306,Black,Widowed,Fully Meets,1,3532,2,2,5,Technical Skills,Internal,Failed
106,01-06-2021,16-Jul-23,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,Administrator,Male,65183,White,Married,Fully Meets,2,3533,2,5,2,Leadership Development,Internal,Completed
107,14-09-2018,active,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,Engineer,Female,97002,Asian,Single,Fully Meets,4,3534,4,3,2,Customer Service,Internal,Completed
108,11-12-2018,02-Jun-22,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,Engineer,Female,29811,Black,Single,Fully Meets,4,3535,1,5,1,Technical Skills,External,Incomplete
109,06-08-2022,active,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,Administrative,Female,89169,Black,Single,Fully Meets,2,3536,1,2,4,Leadership Development,External,Passed
110,28-05-2022,24-Feb-23,NEL,Active,Contract,Zone C,Part-Time,Sales,Field Operations,Foreman,Male,63882,Hispanic,Married,Fully Meets,2,3537,4,2,5,Leadership Development,Internal,Completed
111,16-06-2019,05-Mar-22,PL,Active,Part-Time,Zone C,Part-Time,Sales,Fielders,Engineer,Male,62328,Asian,Widowed,Fully Meets,2,3538,1,5,4,Technical Skills,Internal,Failed
112,08-12-2019,active,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Foreman,Male,74448,Hispanic,Single,Fully Meets,5,3539,3,3,4,Project Management,External,Failed
113,12-03-2020,09-Oct-22,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,Supervisor,Male,18721,White,Widowed,Exceeds,4,3540,2,2,3,Communication Skills,External,Incomplete
114,06-04-2020,24-Jul-23,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Technician,Male,78938,Black,Married,Exceeds,2,3541,1,3,3,Customer Service,External,Passed
115,15-04-2023,active,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,Manager,Male,45456,White,Married,Needs Improvement,1,3542,2,3,4,Project Management,Internal,Failed
116,10-11-2020,active,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,Laborer,Female,45509,Black,Single,Fully Meets,2,3543,4,5,5,Communication Skills,External,Passed
117,29-06-2023,09-Jul-23,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,Foreman,Male,13902,Asian,Single,Fully Meets,2,3544,3,5,3,Leadership Development,External,Passed
118,07-03-2022,active,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,Locator,Female,9733,Black,Widowed,Fully Meets,1,3545,2,5,2,Customer Service,External,Incomplete
119,31-07-2021,27-Jan-23,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,Foreman,Male,35786,Hispanic,Widowed,Exceeds,1,3546,2,5,5,Project Management,External,Passed
120,20-01-2022,active,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,Supervisor,Female,1919,Other,Married,Needs Improvement,2,3547,2,4,2,Technical Skills,External,Failed
121,11-07-2021,10-Oct-22,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Technician,Female,40135,White,Single,Fully Meets,1,3548,5,5,3,Leadership Development,External,Passed
122,15-10-2018,18-Oct-20,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,Technician,Female,72975,Black,Divorced,Fully Meets,2,3549,1,4,1,Communication Skills,External,Failed
123,26-11-2021,14-Oct-22,SVG,Active,Part-Time,Zone C,Temporary,Sales,Wireline Construction,Billing,Male,57754,White,Divorced,Fully Meets,1,3550,3,5,4,Project Management,Internal,Completed
124,11-08-2018,active,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,Engineer,Male,81142,Black,Married,Needs Improvement,4,3551,4,4,3,Communication Skills,External,Incomplete
125,16-02-2020,03-Jun-20,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Foreman,Male,28714,White,Single,Needs Improvement,1,3552,3,4,2,Leadership Development,External,Failed
126,20-01-2020,active,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,Foreman,Male,50379,Black,Divorced,Fully Meets,4,3553,4,2,4,Project Management,Internal,Incomplete
127,31-03-2019,active,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,Cpo,Male,78385,Asian,Widowed,Fully Meets,1,3554,2,1,2,Project Management,Internal,Completed
128,06-01-2023,07-May-23,EW,Active,Full-Time,Zone C,Temporary,Sales,General - Eng,Drafter,Female,48104,Hispanic,Widowed,Fully Meets,4,3555,2,5,1,Leadership Development,External,Passed
129,18-07-2019,15-Jan-20,CCDR,Active,Full-Time,Zone B,Temporary,Sales,Wireline Construction,Vp,Male,86009,White,Single,Exceeds,2,3556,2,2,3,Customer Service,Internal,Incomplete
130,13-02-2019,active,BPC,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Operator,Male,68837,Other,Single,Fully Meets,2,3557,4,5,2,Project Management,External,Failed
131,30-12-2018,active,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),Manager,Female,2145,Black,Single,Fully Meets,1,3558,2,5,3,Technical Skills,Internal,Completed
132,06-11-2019,06-Sep-20,NEL,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Assistant,Male,1960,White,Single,Fully Meets,2,3559,3,2,1,Project Management,External,Failed
133,01-06-2022,active,MSC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,Technician,Female,2127,Asian,Divorced,Exceeds,4,3560,2,4,5,Technical Skills,External,Passed
134,28-03-2023,active,BPC,Active,Part-Time,Zone C,Temporary,Production       ,General - Con,Technician,Female,2171,White,Married,Fully Meets,5,3561,2,1,5,Technical Skills,External,Failed
135,21-05-2019,05-Jan-23,CCDR,Active,Contract,Zone B,Full-Time,Production       ,Shop (Fleet),Manager,Female,1821,Other,Single,Exceeds,2,3562,2,1,3,Project Management,External,Failed
136,01-01-2019,active,WBL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,Driver,Male,2148,Black,Widowed,PIP,4,3563,4,1,3,Leadership Development,External,Passed
137,26-01-2019,02-Dec-20,SVG,Terminated,Full-Time,Zone C,Temporary,Production       ,Aerial,Lineman,Female,2122,White,Divorced,Fully Meets,1,3564,4,4,3,Technical Skills,External,Incomplete
138,11-09-2021,active,WBL,Active,Part-Time,Zone B,Full-Time,Production       ,General - Con,Lineman,Male,1887,Other,Divorced,Fully Meets,4,3565,5,5,5,Project Management,External,Passed
139,26-09-2021,active,PL,Active,Part-Time,Zone A,Part-Time,Production       ,Aerial,Lineman,Male,1460,Black,Single,Fully Meets,2,3566,1,2,3,Communication Skills,Internal,Failed
